Title,vendor,command,type,Handle,Variant SKU,tags,published,option1_name,option1_value,option2_name,option2_value,variant_inventory_tracker,variant_price,variant_compare_at_price,variant_barcode,image_src,image_position,variant_image,status,variant_inventory_qty,Metafield: custom.size_chart_image [single_line_text_field],Metafield: custom.colour [single_line_text_field],Option1 Name,Option1 Value
Beige Backless Flared Maxi,Outzidr,REPLACE,Dresses,OZR-W-DRS-66,OZR-W-DRS-66-XL,"Dresses, Outzidr",TRUE,Color,Beige,Size,XL,shopify,989,1099,,https://outzidr.com/cdn/shop/files/3_9ccbb2f7-4d21-494b-9628-c26e807c6b40.jpg,1,https://outzidr.com/cdn/shop/files/3_9ccbb2f7-4d21-494b-9628 -c26e807c6b40.jpg,active,0,https://outzidr.com/cdn/shop/files/All_in_one_Size_Chart.png,Woman,,
Beige Backless Flared Maxi,Outzidr,REPLACE,Dresses,OZR-W-DRS-66,OZR-W-DRS-66-XS,"Dresses, Outzidr",TRUE,Color,Beige,Size,XS,shopify,989,1099,,https://outzidr.com/cdn/shop/files/1_2070a989-d262-408a-a391-2feb2ad124cd.jpg,2,https://outzidr.com/cdn/shop/files/3_9ccbb2f7-4d21-494b-9628-c26e807c6b40.jpg,active,0,https://outzidr.com/cdn/shop/files/All_in_one_Size_Chart.png,Woman,,
Beige Backless Flared Maxi,Outzidr,REPLACE,Dresses,OZR-W-DRS-66,OZR-W-DRS-66-S,"Dresses, Outzidr",TRUE,Color,Beige,Size,S,shopify,989,1099,,https://outzidr.com/cdn/shop/files/41c01bcc092e5a666c104402c6b544d8_61899550-894a-430c-9ca121b-a07fd2837e9e.png,3,https://outzidr.com/cdn/shop/files/3_9ccbb2f7-4d21-494b-9628-c26e807c6b40.jpg,active,2,https://outzidr.com/cdn/shop/files/All_in_one_Size_Chart.png,Woman,,
Beige Backless Flared Maxi,Outzidr,REPLACE,Dresses,OZR-W-DRS-66,OZR-W-DRS-66-M,"Dresses, Outzidr",TRUE,Color,Beige,Size,M,shopify,989,1099,,https://outzidr.com/cdn/shop/files/56109326-1-1.jpg,4,https://outzidr.com/cdn/shop/files/3_9ccbb2f7-4d21-494b-9628-c26e807c6b40.jpg,active,2,https://outzidr.com/cdn/shop/files/All_in_one_Size_Chart.png,Woman,,
Beige Backless Flared Maxi,Outzidr,REPLACE,Dresses,OZR-W-DRS-66,OZR-W-DRS-66-L,"Dresses, Outzidr",TRUE,Color,Beige,Size,L,shopify,989,1099,,,5,https://outzidr.com/cdn/shop/files/3_9ccbb2f7-4d21-494b-9628-c26e807c6b40.jpg,active,0,https://outzidr.com/cdn/shop/files/All_in_one_Size_Chart.png,Woman,,
Black Flat Wrap Cut Out Top,Outzidr,REPLACE,Tops,OZR-W-TOP-67,OZR-W-TOP-67-FS,"Tops, Outzidr",TRUE,Color,Black,Size,FREE SIZE,shopify,674,749,,https://outzidr.com/cdn/shop/files/a0e6b9780f45184b177074cbf36cb393.jpg,1,https://outzidr.com/cdn/shop/files/a0e6b9780f45184b177074cbf36cb393.jpgs,active,2,https://outzidr.com/cdn/shop/files/Top_Wear_Size_Chat.png,Woman,,
Black Flat Wrap Cut Out Top,Outzidr,REPLACE,Tops,OZR-W-TOP-67,,"Tops, Outzidr",TRUE,,,,,shopify,,,,https://outzidr.com/cdn/shop/files/13cc0783f5c162491c6c3a32efd6e3ce.jpg,2,,active,,https://outzidr.com/cdn/shop/files/Top_Wear_Size_Chat.png,Woman,,
Black Full Sleeve Plunging Neck Mesh Top,Outzidr,REPLACE,Tops,OZR-W-TOP-68,OZR-W-TOP-68-S,"Tops, Outzidr",TRUE,Color,Black,Size,S,shopify,989,1099,,https://outzidr.com/cdn/shop/files/ede50552bb22aa3eb5f2932fbe753612.jpg,1,https://outzidr.com/cdn/shop/files/ede50552bb22aa3eb5f2932fbe753612.jpg,active,0,https://outzidr.com/cdn/shop/files/Top_Wear_Size_Chat.png,Woman,,
Black Full Sleeve Plunging Neck Mesh Top,Outzidr,REPLACE,Tops,OZR-W-TOP-68,OZR-W-TOP-68-M,"Tops, Outzidr",TRUE,Color,Black,Size,M,shopify,989,1099,,https://outzidr.com/cdn/shop/files/1f05418441cf0c14e2ac86896d49e776.jpg,2,https://outzidr.com/cdn/shop/files/ede50552bb22aa3eb5f2932fbe753612.jpg,active,2,https://outzidr.com/cdn/shop/files/Top_Wear_Size_Chat.png,Woman,,
Black Full Sleeve Plunging Neck Mesh Top,Outzidr,REPLACE,Tops,OZR-W-TOP-68,OZR-W-TOP-68-L,"Tops, Outzidr",TRUE,Color,Black,Size,L,shopify,989,1099,,https://outzidr.com/cdn/shop/files/41c01bcc092e5a666c104402c6b544d8_e609f5a0-69d2-455d-9cc3-987844737d19.png,3,https://outzidr.com/cdn/shop/files/ede50552bb22aa3eb5f2932fbe753612.jpg,active,2,https://outzidr.com/cdn/shop/files/Top_Wear_Size_Chat.png,Woman,,
